date,state,positiveIncrease,totalTestResultsIncrease,dailyPositiveRate,population,percentOver18,percentUrban,statewideMaskMandate
2020-06-01,AK,33,2495,0.013226452905811623,731545,75.4,66.0,0
2020-06-02,AK,20,2013,0.009935419771485344,731545,75.4,66.0,0
2020-06-03,AK,18,1979,0.009095502779181405,731545,75.4,66.0,0
2020-06-04,AK,8,1915,0.004177545691906005,731545,75.4,66.0,0
2020-06-05,AK,11,893,0.012318029115341543,731545,75.4,66.0,0
2020-06-06,AK,12,2911,0.004122294744074201,731545,75.4,66.0,0
2020-06-07,AK,8,1003,0.007976071784646061,731545,75.4,66.0,0
2020-06-08,AK,19,1008,0.018849206349206348,731545,75.4,66.0,0
2020-06-09,AK,10,978,0.010224948875255624,731545,75.4,66.0,0
2020-06-10,AK,20,830,0.024096385542168683,731545,75.4,66.0,0
2020-06-11,AK,18,1291,0.0139426800929512,731545,75.4,66.0,0
2020-06-12,AK,14,1869,0.00749063670411985,731545,75.4,66.0,0
2020-06-13,AK,29,923,0.0314192849404117,731545,75.4,66.0,0
2020-06-14,AK,7,1664,0.004206730769230769,731545,75.4,66.0,0
2020-06-15,AK,3,970,0.003092783505154639,731545,75.4,66.0,0
2020-06-16,AK,12,1778,0.006749156355455568,731545,75.4,66.0,0
2020-06-17,AK,20,1494,0.013386880856760376,731545,75.4,66.0,0
2020-06-18,AK,12,3476,0.003452243958573073,731545,75.4,66.0,0
2020-06-19,AK,14,2446,0.005723630417007361,731545,75.4,66.0,0
2020-06-20,AK,21,3287,0.006388804380894433,731545,75.4,66.0,0
2020-06-21,AK,12,1133,0.01059135039717564,731545,75.4,66.0,0
2020-06-22,AK,6,2773,0.002163721601153985,731545,75.4,66.0,0
2020-06-23,AK,17,2123,0.008007536504945829,731545,75.4,66.0,0
2020-06-24,AK,14,3149,0.004445855827246745,731545,75.4,66.0,0
2020-06-25,AK,24,3356,0.007151370679380214,731545,75.4,66.0,0
2020-06-26,AK,20,2340,0.008547008547008548,731545,75.4,66.0,0
2020-06-27,AK,18,3789,0.004750593824228029,731545,75.4,66.0,0
2020-06-28,AK,29,2719,0.010665685913938948,731545,75.4,66.0,0
