SUMLEV,REGION,DIVISION,CODE,state,POPESTIMATE2019,POPEST18PLUS2019,PCNT_POPEST18PLUS
040,3,6,01,AL,4903185,3814879,77.8
040,4,9,02,AK,731545,551562,75.4
040,4,8,04,AZ,7278717,5638481,77.5
040,3,7,05,AR,3017804,2317649,76.8
040,4,9,06,CA,39512223,30617582,77.5
040,4,8,08,CO,5758736,4499217,78.1
040,1,1,09,CT,3565287,2837847,79.6
040,3,5,10,DE,973764,770192,79.1
040,3,5,12,FL,21477737,17247808,80.3
040,3,5,13,GA,10617423,8113542,76.4
040,4,9,15,HI,1415872,1116004,78.8
040,4,8,16,ID,1787065,1338864,74.9
040,2,3,17,IL,12671821,9853946,77.8
040,2,3,18,IN,6732219,5164245,76.7
040,2,4,19,IA,3155070,2428229,77
040,2,4,20,KS,2913314,2213064,76
040,3,6,21,KY,4467673,3464802,77.6
040,3,7,22,LA,4648794,3561164,76.6
040,1,1,23,ME,1344212,1095370,81.5
040,3,5,24,MD,6045680,4710993,77.9
040,1,1,25,MA,6892503,5539703,80.4
040,2,3,26,MI,9986857,7842924,78.5
040,2,4,27,MN,5639632,4336475,76.9
040,3,6,28,MS,2976149,2277566,76.5
040,2,4,29,MO,6137428,4766843,77.7
040,4,8,30,MT,1068778,840190,78.6
040,2,4,31,NE,1934408,1458334,75.4
040,4,8,32,NV,3080156,2387517,77.5
040,1,1,33,NH,1359711,1104458,81.2
040,1,2,34,NJ,8882190,6943612,78.2
040,4,8,35,NM,2096829,1620991,77.3
040,1,2,36,NY,19453561,15425262,79.3
040,3,5,37,NC,10488084,8187369,78.1
040,2,4,38,ND,762062,581891,76.4
040,2,3,39,OH,11689100,9111081,77.9
040,3,7,40,OK,3956971,3004733,75.9
040,4,9,41,OR,4217737,3351175,79.5
040,1,2,42,PA,12801989,10167376,79.4
040,1,1,44,RI,1059361,854866,80.7
040,3,5,45,SC,5148714,4037531,78.4
040,2,4,46,SD,884659,667558,75.5
040,3,6,47,TN,6829174,5319123,77.9
040,3,7,48,TX,28995881,21596071,74.5
040,4,8,49,UT,3205958,2274774,71
040,1,1,50,VT,623989,509984,81.7
040,3,5,51,VA,8535519,6674671,78.2
040,4,9,53,WA,7614893,5951832,78.2
040,3,5,54,WV,1792147,1432580,79.9
040,2,3,55,WI,5822434,4555837,78.2
040,4,8,56,WY,578759,445025,76.9
